"","Date","Region","monthly_inflation","Unemployment_Rate","wage_growth","Real_GDP_Index","POPTHM","real_wage_growth","pre_2020","pre_mid_2020","post_2020"
"182",2019-10-01,"East North Central",0.0023174075933723,0.033,0.03,20901.125,331066,0.0276825924066277,0,0,0
"183",2019-11-01,"East North Central",-0.00183037262533234,0.033,0.031,21031.694,331213,0.0328303726253323,0,0,0
"184",2019-12-01,"East North Central",-8.68608489200334e-05,0.034,0.032,21023.709,331345,0.03208686084892,0,0,0
"185",2020-01-01,"East North Central",0.00506732300564636,0.042,0.03,20997.514,331443,0.0249326769943536,1,0,0
"186",2020-02-01,"East North Central",0.00135407663497556,0.039,0.031,21065.812,331525,0.0296459233650244,1,0,0
"187",2020-03-01,"East North Central",-0.00571587497962045,0.049,0.031,20017.153,331642,0.0367158749796204,1,0,0
"188",2020-04-01,"East North Central",-0.0120761996624065,0.175,0.031,18205.46,331699,0.0430761996624065,1,0,0
"189",2020-05-01,"East North Central",0.0045302324673169,0.146,0.032,18963.824,331701,0.0274697675326831,1,0,0
"190",2020-06-01,"East North Central",0.00813513855005981,0.12,0.03,20003.128,331744,0.0218648614499402,1,0,0
"191",2020-07-01,"East North Central",0.00510971424164129,0.108,0.03,20343.438,331811,0.0248902857583587,1,1,0
"192",2020-08-01,"East North Central",0.00470965142824256,0.084,0.029,20546.906,331885,0.0242903485717574,1,1,0
"193",2020-09-01,"East North Central",0.000926058523079805,0.076,0.028,20760.257,331966,0.0270739414769202,1,1,0
"194",2020-10-01,"East North Central",-0.00052459892027997,0.063,0.028,20877.365,332041,0.02852459892028,1,1,0
"195",2020-11-01,"East North Central",-0.00315878878105111,0.06,0.028,20662.384,332079,0.0311587887810511,1,1,0
"196",2020-12-01,"East North Central",0.000220188404687104,0.062,0.028,20779.743,332062,0.0277798115953129,1,1,0
"197",2021-01-01,"East North Central",0.00521635926836974,0.066,0.028,21103.554,332007,0.0227836407316303,1,1,1
"198",2021-02-01,"East North Central",0.00857899146861666,0.064,0.028,20796.996,331983,0.0194210085313833,1,1,1
"199",2021-03-01,"East North Central",0.00658956809063023,0.06,0.028,21279.419,332023,0.0214104319093698,1,1,1
"200",2021-04-01,"East North Central",0.00794387702465691,0.055,0.028,21392.051,332089,0.0200561229753431,1,1,1
"201",2021-05-01,"East North Central",0.00956546012840798,0.054,0.03,21372.924,332161,0.020434539871592,1,1,1
"202",2021-06-01,"East North Central",0.00901399104130946,0.061,0.029,21406.61,332249,0.0199860089586905,1,1,1
"203",2021-07-01,"East North Central",0.00602871862325986,0.056,0.031,21534.529,332375,0.0249712813767401,1,1,1
"204",2021-08-01,"East North Central",0.00101692452967249,0.051,0.032,21554.189,332506,0.0309830754703275,1,1,1
"205",2021-09-01,"East North Central",0.00196828967418909,0.044,0.032,21630.124,332610,0.0300317103258109,1,1,1
"206",2021-10-01,"East North Central",0.00865432489928939,0.04,0.033,21910.79,332708,0.0243456751007106,1,1,1
"207",2021-11-01,"East North Central",0.00473878353272715,0.036,0.034,21889.444,332806,0.0292612164672729,1,1,1
"208",2021-12-01,"East North Central",0.00282271391437175,0.035,0.04,22085.674,332891,0.0371772860856283,1,1,1
"209",2022-01-01,"East North Central",0.00895203313588381,0.046,0.041,21919.366,332933,0.0320479668641162,1,1,1
"210",2022-02-01,"East North Central",0.00897854683499612,0.045,0.044,21878.75,332972,0.0350214531650039,1,1,1
"211",2022-03-01,"East North Central",0.0124861095312677,0.041,0.047,21918.133,333067,0.0345138904687323,1,1,1
"212",2022-04-01,"East North Central",0.0041740843804553,0.036,0.049,21942.301,333191,0.0448259156195447,1,1,1
"213",2022-05-01,"East North Central",0.0160503283217294,0.037,0.051,21936.131,333317,0.0349496716782706,1,1,1
"214",2022-06-01,"East North Central",0.0182615913672478,0.042,0.056,21883.98,333451,0.0377384086327522,1,1,1
"215",2022-07-01,"East North Central",-0.00328569764927058,0.042,0.058,21953.155,333599,0.0612856976492706,1,1,1
"216",2022-08-01,"East North Central",-0.00283751867337647,0.041,0.062,22185.761,333762,0.0648375186733765,1,1,1
"217",2022-09-01,"East North Central",0.002602880744541,0.036,0.065,22066.351,333925,0.062397119255459,1,1,1
"218",2022-10-01,"East North Central",0.00283820558625644,0.036,0.065,22231.955,334071,0.0621617944137436,1,1,1
"219",2022-11-01,"East North Central",-0.00213927780644951,0.034,0.065,22262.038,334206,0.0671392778064495,1,1,1
"220",2022-12-01,"East North Central",-0.00587268616999085,0.034,0.062,22259.166,334326,0.0678726861699908,1,1,1
"221",2023-01-01,"East North Central",0.00924706099535972,0.042,0.063,22415.615,334433,0.0537529390046403,1,1,1
"222",2023-02-01,"East North Central",0.00384951153606314,0.042,0.061,22354.843,334544,0.0571504884639369,1,1,1
"223",2023-03-01,"East North Central",0.00756182809057626,0.039,0.062,22444.569,334664,0.0544381719094237,1,1,1
"224",2023-04-01,"East North Central",0.00642000476773726,0.032,0.061,22439.623,334792,0.0545799952322627,1,1,1
"225",2023-05-01,"East North Central",0.003267119707266,0.036,0.06,22571.293,334929,0.056732880292734,1,1,1
"226",2023-06-01,"East North Central",0.00284127914549957,0.04,0.059,22612.29,335080,0.0561587208545004,1,1,1
"227",2023-07-01,"East North Central",0.00306053693345572,0.04,0.058,22692.347,335248,0.0549394630665443,1,1,1
"228",2023-08-01,"East North Central",-0.00108451091794947,0.041,0.056,22827.169,335431,0.0570845109179495,1,1,1
"229",2023-09-01,"East North Central",-0.00118291418200675,0.037,0.054,22828.208,335612,0.0551829141820068,1,1,1
"230",2023-10-01,"East North Central",-0.00098152143934854,0.036,0.054,22801.215,335773,0.0549815214393485,1,1,1
"231",2023-11-01,"East North Central",-0.000966246335977653,0.034,0.054,22925.249,335925,0.0549662463359777,1,1,1
"232",2023-12-01,"East North Central",-0.00138981452884468,0.034,0.054,23160.058,336070,0.0553898145288447,1,1,1
"233",2024-01-01,"East North Central",0.00374388566498729,0.042,0.053,22957.423,336194,0.0492561143350127,1,1,1
"234",2024-02-01,"East North Central",0.00480835502363638,0.044,0.053,23107.433,336306,0.0481916449763636,1,1,1
"235",2024-03-01,"East North Central",0.00719819238218202,0.043,0.051,23100.549,336423,0.043801807617818,1,1,1
"236",2024-04-01,"East North Central",0.0053039771816813,0.039,0.053,23165.934,336550,0.0476960228183187,1,1,1
"237",2024-05-01,"East North Central",0.00262205715925206,0.043,0.052,23248.626,336687,0.0493779428407479,1,1,1
"238",2024-06-01,"East North Central",0.000985668068329129,0.05,0.051,23261.861,336839,0.0500143319316709,1,1,1
"239",2024-07-01,"East North Central",0.00478054746003629,0.052,0.049,23385.227,337005,0.0442194525399637,1,1,1
"240",2024-08-01,"East North Central",3.95166325507169e-05,0.044,0.048,23427.13,337185,0.0479604833674493,1,1,1
"241",2018-01-01,"West North Central",0.00533000000000001,0.037,0.032,20001.73,327969,0.02667,0,0,0
